benchmark,config_name,row_id,row_idx,dilemma_source,dilemma_type,role_domain,context,theory,action_locus_label,action_locus_status,theory_identity_label,theory_identity_status,dilemma_structure_label,domain_topic_label,stakeholder_tradeoff_density_label,stakeholder_tradeoff_density_status,response_side_labels_status,freeze_version,freeze_date
morebench,morebench_public,morebench_public__0000,0,daily_dilemmas,long_case,ai_advisor,Right & Duty & Justice,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Right & Duty & Justice,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0001,1,daily_dilemmas,short_case,ai_advisor,Interpersonal relationship,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Interpersonal relationship,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0002,2,daily_dilemmas,short_case,ai_advisor,Interpersonal relationship,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Interpersonal relationship,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0003,3,expert_written_ethic_bowl,expert_case,ai_advisor,Business & Workplace,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,expert_case,Business & Workplace,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0004,4,ai_risk_dilemmas,short_case,ai_agent,Business & Workplace,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Business & Workplace,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0005,5,daily_dilemmas,short_case,ai_advisor,Business & Workplace,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Business & Workplace,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0006,6,daily_dilemmas,short_case,ai_advisor,Interpersonal relationship,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Interpersonal relationship,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0007,7,daily_dilemmas,long_case,ai_advisor,Business & Workplace,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Business & Workplace,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0008,8,daily_dilemmas,long_case,ai_advisor,Right & Duty & Justice,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Right & Duty & Justice,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0009,9,daily_dilemmas,short_case,ai_advisor,Right & Duty & Justice,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Right & Duty & Justice,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0010,10,expert_written_ethic_bowl,expert_case,ai_advisor,Right & Duty & Justice,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,expert_case,Right & Duty & Justice,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0011,11,expert_written_ethic_unwrapped,expert_case,ai_advisor,Bioethics & Healthcare,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,expert_case,Bioethics & Healthcare,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0012,12,expert_written_ethic_unwrapped,expert_case,ai_advisor,Animal & Environment,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,expert_case,Animal & Environment,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0013,13,ai_risk_dilemmas,long_case,ai_agent,Animal & Environment,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Animal & Environment,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0014,14,expert_written_ethic_bowl,expert_case,ai_advisor,Sports,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,expert_case,Sports,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0015,15,daily_dilemmas,short_case,ai_advisor,Media & Journalism,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Media & Journalism,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0016,16,expert_written_ethic_bowl,expert_case,ai_advisor,Right & Duty & Justice,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,expert_case,Right & Duty & Justice,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0017,17,ai_risk_dilemmas,long_case,ai_agent,Science & Techonology,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Science & Techonology,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0018,18,expert_written_ethic_unwrapped,expert_case,ai_advisor,Interpersonal relationship,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,expert_case,Interpersonal relationship,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0019,19,ai_risk_dilemmas,short_case,ai_agent,Education,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Education,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0020,20,ai_risk_dilemmas,long_case,ai_agent,Business & Workplace,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Business & Workplace,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0021,21,ai_risk_dilemmas,short_case,ai_agent,Entertainment,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Entertainment,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0022,22,ai_risk_dilemmas,long_case,ai_agent,Organization,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Organization,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0023,23,expert_written_ethic_bowl,expert_case,ai_advisor,Art & Culture,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,expert_case,Art & Culture,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0024,24,expert_written_ethic_unwrapped,expert_case,ai_advisor,Art & Culture,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,expert_case,Art & Culture,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0025,25,ai_risk_dilemmas,long_case,ai_agent,Bioethics & Healthcare,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Bioethics & Healthcare,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0026,26,daily_dilemmas,short_case,ai_advisor,Interpersonal relationship,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Interpersonal relationship,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0027,27,expert_written_ethic_bowl,expert_case,ai_advisor,Media & Journalism,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,expert_case,Media & Journalism,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0028,28,daily_dilemmas,long_case,ai_advisor,Professional Ethics,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Professional Ethics,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0029,29,ai_risk_dilemmas,short_case,ai_agent,Science & Techonology,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Science & Techonology,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0030,30,ai_risk_dilemmas,long_case,ai_agent,Science & Techonology,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Science & Techonology,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0031,31,ai_risk_dilemmas,long_case,ai_agent,Science & Techonology,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Science & Techonology,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0032,32,daily_dilemmas,long_case,ai_advisor,Interpersonal relationship,neutral,ai_advisor,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,long_case,Interpersonal relationship,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
morebench,morebench_public,morebench_public__0033,33,ai_risk_dilemmas,short_case,ai_agent,Science & Techonology,neutral,ai_agent,blocked_on_augmentation,neutral,metadata_only_until_prompt_exposed,short_case,Science & Techonology,,pending_gold_slice_validation,requires_fresh_generations,v1,2026-04-22
