label_name,unit,source,freeze_version,status,blocker
adv_failure_mode,adv_prompt,CounselBench-Adv column,v1,frozen_for_diagnostic_prompt_readout,
topic,adv_prompt_or_eval_response,project heuristic,v1,tracked_nuisance,
question_id,adv_prompt,project deterministic id,v1,tracked_nuisance,
prompt_length_bucket,adv_prompt_or_eval_response,project heuristic,v1,tracked_nuisance,
empathy_high,eval_question_response,CounselBench-Eval aggregate,v1,frozen_definition_pending_materialized_rows,requires HF materialization
specificity_high,eval_question_response,CounselBench-Eval aggregate,v1,frozen_definition_pending_materialized_rows,requires HF materialization
medical_boundary_violation,eval_question_response,CounselBench-Eval aggregate,v1,frozen_definition_pending_materialized_rows,requires HF materialization
factuality_low,eval_question_response,CounselBench-Eval aggregate,v1,frozen_definition_pending_materialized_rows,requires HF materialization
toxicity_or_judgmental,eval_question_response,CounselBench-Eval aggregate,v1,frozen_definition_pending_materialized_rows,requires HF materialization
overall_quality_high,eval_question_response,CounselBench-Eval aggregate,v1,validation_only,
generated_medical_boundary_heuristic,generated_adv_response,project lexical heuristic,v1,blocked,response-label validation required

